"ID","time","lon","lat","hdop","x","y","depth"
4405883,2007-04-03 07:49:00,NA,NA,NA,NA,NA,-149
4405883,2007-04-03 07:54:00,NA,NA,NA,NA,NA,-173
4405883,2007-04-03 07:59:00,NA,NA,NA,NA,NA,-164
4405883,2007-04-03 08:04:00,NA,NA,NA,NA,NA,-169
4405883,2007-04-03 08:09:00,NA,NA,NA,NA,NA,-170
4405883,2007-04-03 08:12:18,-111.8519,27.8991,12.7,75084.3637097559,52918.7567129955,NA
4405883,2007-04-03 08:14:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 08:18:05,-111.8494,27.8985,9.2,75339.2324843749,52874.516228734,NA
4405883,2007-04-03 08:19:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 08:24:00,NA,NA,NA,NA,NA,-178
4405883,2007-04-03 08:29:00,NA,NA,NA,NA,NA,-175
4405883,2007-04-03 08:34:00,NA,NA,NA,NA,NA,-158
4405883,2007-04-03 08:39:00,NA,NA,NA,NA,NA,-178
4405883,2007-04-03 08:44:00,NA,NA,NA,NA,NA,-139
4405883,2007-04-03 08:46:36,-111.8291,27.8886,19.4,77460.9281398251,51952.4944535545,NA
4405883,2007-04-03 08:49:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 08:54:00,NA,NA,NA,NA,NA,-107
4405883,2007-04-03 08:59:00,NA,NA,NA,NA,NA,-161
4405883,2007-04-03 09:04:00,NA,NA,NA,NA,NA,-163
4405883,2007-04-03 09:09:00,NA,NA,NA,NA,NA,-167
4405883,2007-04-03 09:14:00,NA,NA,NA,NA,NA,-174
4405883,2007-04-03 09:18:43,-111.8031,27.8824,23,80111.836029921,51497.5226863748,NA
4405883,2007-04-03 09:19:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 09:24:00,NA,NA,NA,NA,NA,-51
4405883,2007-04-03 09:29:00,NA,NA,NA,NA,NA,-250
4405883,2007-04-03 09:34:00,NA,NA,NA,NA,NA,-405
4405883,2007-04-03 09:39:00,NA,NA,NA,NA,NA,-557
4405883,2007-04-03 09:44:00,NA,NA,NA,NA,NA,-566
4405883,2007-04-03 09:49:00,NA,NA,NA,NA,NA,-570
4405883,2007-04-03 09:54:00,NA,NA,NA,NA,NA,-54
4405883,2007-04-03 09:54:45,-111.7755,27.8905,8.2,82773.742373917,52659.1172070084,NA
4405883,2007-04-03 09:59:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 10:00:01,-111.774,27.8913,3.4,82914.6611366093,52762.5564180156,NA
4405883,2007-04-03 10:04:00,NA,NA,NA,NA,NA,-120
4405883,2007-04-03 10:09:00,NA,NA,NA,NA,NA,-275
4405883,2007-04-03 10:14:00,NA,NA,NA,NA,NA,-174
4405883,2007-04-03 10:17:10,-111.7763,27.9007,11.8,82588.093303937,53793.8920437708,NA
4405883,2007-04-03 10:19:00,NA,NA,NA,NA,NA,2
4405883,2007-04-03 10:22:00,-111.7785,27.9022,0.1,82353.6384588976,53941.5327474079,NA
4405883,2007-04-03 10:24:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 10:29:00,NA,NA,NA,NA,NA,-160
4405883,2007-04-03 10:34:00,NA,NA,NA,NA,NA,-210
4405883,2007-04-03 10:39:00,NA,NA,NA,NA,NA,-197
4405883,2007-04-03 10:44:00,NA,NA,NA,NA,NA,-190
4405883,2007-04-03 10:49:00,NA,NA,NA,NA,NA,-193
4405883,2007-04-03 10:54:00,NA,NA,NA,NA,NA,-188
4405883,2007-04-03 10:59:00,NA,NA,NA,NA,NA,-153
4405883,2007-04-03 11:01:27,-111.7912,27.9264,2,80838.8379799663,56534.0307404986,NA
4405883,2007-04-03 11:04:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 11:09:00,NA,NA,NA,NA,NA,-68
4405883,2007-04-03 11:14:00,NA,NA,NA,NA,NA,-175
4405883,2007-04-03 11:19:00,NA,NA,NA,NA,NA,-172
4405883,2007-04-03 11:24:00,NA,NA,NA,NA,NA,-148
4405883,2007-04-03 11:29:00,NA,NA,NA,NA,NA,-173
