"x","vx","y","vy","depth","vdepth","time"
15671.9131408576,-1.2344989026553,96240.8505881606,-0.737967230269042,-61.4910150248945,0.864190325476731,2007-04-05 08:42:37
15565.3158116974,-1.32493754793292,96168.7428869855,-0.969657075424891,0.0677284826181379,0.587980520892002,2007-04-05 08:44:00
15240.0458620988,-1.27368351962864,95944.8420920095,-0.616936159593183,26.8564512292806,-0.350260473495015,2007-04-05 08:48:03
15169.3041623892,-1.20952204720186,95916.9251596544,-0.367015247005558,-0.0224465419292907,-0.599037111988336,2007-04-05 08:49:00
14846.0964602776,-0.973458912099406,95957.4504819504,0.517183009995588,-265.14204621205,-0.78006939618734,2007-04-05 08:54:00
14568.4596445526,-0.90520121106637,96155.91482337,0.687696179184082,-376.712510406297,0.0143352684432709,2007-04-05 08:59:00
14286.3455824958,-1.00335781874633,96299.095329137,0.147999394993108,-250.792746361954,0.870117623583243,2007-04-05 09:04:00
14132.4266799024,-1.11179739960703,96284.6634889789,-0.37431268405191,-104.479484785241,0.99386669288638,2007-04-05 09:06:26
13951.5905928055,-1.23143458463413,96189.5300498641,-0.783867838069693,-1.54194637440068,0.15732604708996,2007-04-05 09:09:00
13714.9632744964,-1.33319448774738,96046.0259656533,-0.665793160984123,-76.9094347981582,-0.71841071275932,2007-04-05 09:12:04
13558.0405561053,-1.36687027963631,95984.6146910747,-0.398036881001342,-155.36929082688,-0.544490571435121,2007-04-05 09:14:00
13152.3334912806,-1.30107045625476,95953.4909071818,0.158455143669075,-274.916682066773,-0.676969294508594,2007-04-05 09:19:00
12799.596499494,-1.01313791119496,96060.9417535444,0.527359824291659,-471.953711576764,0.147255563487775,2007-04-05 09:24:00
12567.235389271,-0.497204371016813,96251.9121208479,0.716195682101267,-172.150266602912,1.12538087946317,2007-04-05 09:29:00
12521.8097591873,-0.205259176507195,96345.6438549232,0.743035328468358,-57.1680375261344,0.674377468339811,2007-04-05 09:31:08
12522.3459211212,0.209035722395824,96469.4815570947,0.666573158341393,-0.249861008750487,-0.0696965379163456,2007-04-05 09:34:00
12564.3481758297,0.489993634041539,96540.6746582177,0.505128872139514,-38.9299632490955,-0.49963363702071,2007-04-05 09:36:00
12686.5004275086,0.847489403044602,96606.2248936458,0.236691351344407,-131.85357975552,-0.387967796242173,2007-04-05 09:39:00
12999.1603586299,1.18325394848421,96631.2195268972,-0.0335643189338021,-198.986984861882,-0.342727648841864,2007-04-05 09:44:00
13364.5026672779,1.19930053495908,96607.7756635986,-0.0867792884279586,-330.149934269695,-0.219109689361517,2007-04-05 09:49:00
13686.8232327329,0.8959561876727,96600.7329326506,0.0759618973986232,-263.406094845687,0.620421856771274,2007-04-05 09:54:00
13869.5411176873,0.267038532077591,96675.2652323663,0.457976022638331,-35.4119682616963,0.632259521949544,2007-04-05 09:59:00
13876.8872026808,0.177495627321794,96691.2899134768,0.513675048881282,-16.0425967131288,0.54106306019316,2007-04-05 09:59:33
13849.7830495987,-0.289343140940235,96859.7748056002,0.634971660523809,-1.04328018627607,-0.60513358453418,2007-04-05 10:04:00
13828.8290340395,-0.321071776998329,96900.557149043,0.557145478770515,-54.8560261495791,-0.9310344483092,2007-04-05 10:05:08
13750.3556037116,-0.348575626332248,96992.8953708005,0.250037209248382,-226.651561988863,-0.00764173960097059,2007-04-05 10:09:00
13647.8545782973,-0.323327574913521,97020.1410956887,-0.0507761945306544,-0.969722024289766,0.639593877207885,2007-04-05 10:14:00
13563.2679106871,-0.228944146736453,96972.7293334742,-0.248522969335943,-11.2036145590042,-0.510339451861949,2007-04-05 10:19:00
13517.5891712793,-0.0635017401534387,96880.9242454367,-0.347233323824778,-232.174718261294,-0.859449391134895,2007-04-05 10:24:00
13532.6049012269,0.176371474990062,96774.0852282823,-0.348919037541939,-443.229759607815,-0.315428027425351,2007-04-05 10:29:00
13631.3386364104,0.495564277615042,96681.2652782082,-0.253614463394107,-352.640929871354,0.963128019929638,2007-04-05 10:34:00
13782.3028267356,0.803722620239099,96637.4450881291,-0.110767499291296,-65.5793308873759,1.14004942733744,2007-04-05 10:37:54
13838.3155622408,0.891282595913823,96631.8937819798,-0.0552556615287753,-0.554656566826616,0.798022663979569,2007-04-05 10:39:00
14079.9537526157,1.09163851300478,96652.7608205569,0.258580527628933,33.5721511558303,-0.433921285086373,2007-04-05 10:43:00
14146.228244919,1.11690323886144,96671.198437037,0.35441126311438,-1.08013977529257,-0.725867092370031,2007-04-05 10:44:00
14494.3587367509,1.18896108610183,96833.9956995321,0.691828771438836,-297.738177595462,-0.772620166933218,2007-04-05 10:49:00
14850.6474015285,1.17138324269793,97063.1226625556,0.797358762639294,-378.996152541828,0.0952482480571283,2007-04-05 10:54:00
15188.1953869162,1.06381145878446,97289.4528512983,0.673151999589834,-251.766357339824,0.843769157537308,2007-04-05 10:59:00
15351.1696095227,0.968960214594576,97385.1730677276,0.512286936315432,-94.3359341983736,0.96186772896229,2007-04-05 11:01:40
15480.6744059308,0.884467383301759,97445.6574560956,0.3564258544841,-1.22928300981753,0.220245783476924,2007-04-05 11:04:00
15726.6359766859,0.770340185813177,97513.2112025724,0.114578103351975,-158.543000801158,-0.818902823853518,2007-04-05 11:09:00
15951.8281614396,0.745770127851171,97526.583262153,-0.00539761995943466,-356.041474008623,-0.400212056589065,2007-04-05 11:14:00
16182.997655781,0.810256461212028,97521.9072217437,-0.00594649549058107,-495.367237560831,-1.01403586115979,2007-04-05 11:19:00
16447.0129784461,0.965113464931894,97534.9488376117,0.112920295266025,-873.680009469884,-0.658494052112302,2007-04-05 11:24:00
16771.4120692756,1.21349723158828,97601.8349650701,0.353625340918855,-708.257235384656,1.64261784736566,2007-04-05 11:29:00
17184.9635305271,1.56046999077929,97759.7898476183,0.721074374165698,-126.447584054933,1.39879312316865,2007-04-05 11:34:00
17307.4811706511,1.66481792305082,97818.8701605624,0.835116305480466,-44.9429759729477,0.781058176887925,2007-04-05 11:35:16
17690.5934659848,1.6425236186104,98006.6867862666,0.670668228132414,0.807340863747909,-0.235406241989075,2007-04-05 11:39:00
17873.489220663,1.34737131440033,98059.6129469176,0.153976134927364,-46.2153920279757,-0.512210288167614,2007-04-05 11:41:01
18066.4575002166,0.831198574179049,98008.7695743489,-0.666717109650667,-156.019196599375,-0.677189134203258,2007-04-05 11:44:00
18221.4843546018,0.263596845213434,97690.0718921499,-1.30515777001361,-344.74033834562,-0.470124891910478,2007-04-05 11:49:00
18260.9197451409,0.0592826877876622,97316.9705552551,-1.03002285154231,-386.178945212705,0.291281106502102,2007-04-05 11:54:00
18292.9419808964,0.214092060319192,97163.9141854901,0.164295131712317,-196.130976215717,0.773362432976681,2007-04-05 11:59:00
18335.6943075741,0.409849019109954,97245.9641338614,1.04234441296711,-92.2796783697439,0.692742270213148,2007-04-05 12:01:20
18419.2050545398,0.611658799184152,97477.8201080678,1.70172163966739,0.896446160710876,0.433869131725239,2007-04-05 12:04:00
18537.877249481,0.678769233590914,97769.039441808,1.33918432823538,29.7480759744126,-0.18683252381178,2007-04-05 12:07:00
18618.7162377241,0.669206442473376,97893.513691351,0.749214078070163,-35.2510365820638,-0.967444463735862,2007-04-05 12:09:00
18817.8607683595,0.662509251641371,97937.8480577773,-0.37026908485491,-450.604921830174,-0.991687886005876,2007-04-05 12:14:00
19018.6737485587,0.680348294496835,97720.394578078,-0.998996320623947,-540.162195555052,-0.0538416717842806,2007-04-05 12:19:00
19228.5580374194,0.723087146319458,97386.2120831776,-1.14978149582806,-466.205098440485,1.06237593764762,2007-04-05 12:24:00
19455.1013741699,0.791596855577581,97077.9803947585,-0.825697693818211,-11.699094312295,1.01511046761821,2007-04-05 12:29:00
19468.5981755051,0.796276671744391,97064.2190435482,-0.793027368258821,4.1475529021736,0.851447054488166,2007-04-05 12:29:17
19703.7399900378,0.860851053980519,96893.8193392403,-0.498402539993984,1.00049157029728,-0.546919889570673,2007-04-05 12:34:00
19755.7013178886,0.870988816262673,96863.893343402,-0.503037037373444,-35.1513246918442,-0.65109543258545,2007-04-05 12:35:00
19966.9403019541,0.87946698770923,96736.0439493974,-0.559366686829767,-209.970439516575,-0.722106887900694,2007-04-05 12:39:00
20222.1799606025,0.806612666046067,96560.7224566884,-0.604919261123283,-348.999528895846,-0.00821350973487162,2007-04-05 12:44:00
20441.4944293119,0.639559777934276,96375.7686997168,-0.623690622599679,-208.718898015274,0.771665130246224,2007-04-05 12:49:00
20596.162121307,0.37490366825034,96189.1461587034,-0.616063344051052,-0.255191099836446,0.33155061312554,2007-04-05 12:54:00
20617.0338335353,0.308701650984882,96151.7066500292,-0.611278545073269,12.3724332100143,0.099527098038696,2007-04-05 12:55:01
20665.1975072428,0.120942970961415,96015.6852203602,-0.495222286338417,2.04749572602638,0.0178192155805313,2007-04-05 12:59:00
20671.7395517541,0.0987894951598025,95987.6853074526,-0.436092578476168,6.24529854654193,0.107559721383589,2007-04-05 13:00:00
20687.7686047551,0.0370738586185217,95909.9304952779,-0.229993225315123,-0.613943445247831,-0.413905270676189,2007-04-05 13:04:00
20689.6198107544,-0.0213635435453754,95861.0538427297,-0.123628329370311,-223.811962739778,-0.605552498919064,2007-04-05 13:09:00
20676.9185094187,-0.0601072941245544,95819.1445846162,-0.183465206180242,-286.152392521192,0.0334615542355846,2007-04-05 13:14:00
20655.4445562247,-0.0799470161565981,95734.24393753,-0.410723381059532,-221.275772004854,0.485178489061198,2007-04-05 13:19:00
20630.7990143394,-0.0812870557935197,95555.5169221074,-0.810034535343361,-42.8432102932536,0.426517262048539,2007-04-05 13:24:00
20625.5010239492,-0.0791091853964351,95498.4175032846,-0.921711006258029,-20.7177193550634,0.254222554853076,2007-04-05 13:25:06
20607.5524777554,-0.0765422729337088,95255.3478713812,-1.06720441340555,1.12865520219339,0.0100852732941681,2007-04-05 13:29:00
20602.9190276028,-0.0780537708337743,95192.589809604,-1.01890552893353,1.51968898948325,0.0033814229572068,2007-04-05 13:30:00
20583.3520098189,-0.0845744181045061,94978.2404979329,-0.772977549041886,1.01582672947816,-0.00264052327033282,2007-04-05 13:34:00
20557.1950107342,-0.0891525150956957,94786.8850602812,-0.510669602654537,0.993414506722957,0.000106643924257315,2007-04-05 13:39:00
20530.2488722166,-0.089844264600942,94667.3247532393,-0.293532089243544,1.009382744122,0.00210176771705506,2007-04-05 13:44:00
20503.6754145418,-0.0866637649045626,94606.6940643499,-0.11713960163695,1.9874746731871,0.00124590483192136,2007-04-05 13:49:00
20478.6440534975,-0.0795461952030671,94593.328505827,0.0221028557251561,2.02438109027026,0.00324588694462007,2007-04-05 13:54:00
20456.3556338611,-0.0683464945800331,94616.5268844342,0.127033135905217,1.90801570165194,-0.0163980064423018,2007-04-05 13:59:00
20438.0669034134,-0.0528364055824807,94666.3332040371,0.19978978697756,1.37680662786306,0.0621005243816753,2007-04-05 14:04:00
20425.1161262915,-0.0326998221863063,94733.3337557941,0.241855637117559,0.130369733165676,-0.276241818048317,2007-04-05 14:09:00
